#, +/-,Tier,Player,Projected Position(s),Position Rank,NBA Team,Draft Pick,Contract Details,DOB,Class,Age,Previous Rank, +/- Change,"Notes/Outlook, Updated 7/10/2026",GP,MP,FG%,PTS,3PTA,3PTM,REB,AST,STL,BLK,TO,FT%
59,-19,5,Quadir Copeland,PG/SG,PG8,HOU,UDFA,Two-Way (1 Year Deal),2003-09-04,SR,22.89863014,,,"The Quad God came away as an undrafted free agent, but ends up in a good spot on a two-way in Houston. He's a junkyard dog with a lot to like with his 6'6"", 200-pound stature that passes the ball and defends well. The shooting will hold him back if it doesn't end up being real, but he's someone who can really create rim pressure effectively. ",34,28.9,49.4,13.9,1.7,0.7,3.6,6.5,1.8,0.1,2.8,77.5
60,-13,6,Duke Miles,SG,SG11,N/A,UDFA,Exhibit-10,2002-02-03,SR,24.48219178,,,"Another one of my mid 2nd round sleepers that went undrafted. Don't be like the NBA teams that slept on Duke Miles if he shows out this summer. He's got a solid connective profile and has a lot to like in his profile as a tenacious defender. Very good piece for Vanderbilt this year. Could he be a Keon Ellis sort of player in the NBA? I think it's possible, for sure. ",36,33.5,48.5,19.5,4.5,1.7,3.6,5.1,2.4,0.3,1.9,85.3
61,13,,Trey Kaufman-Renn,PF,PF21,MIN,2.29,TBD,2002-08-19,SR,23.94246575,,,"TKR has a lot of that old school big to him as a post-up heavy undersized center. I don't really see his style translating to the NBA, but the numbers are certainly interesting. He's got some passing to his game and the rebounding is good, but he's basically a cone on D. If the shooting proves to be anything, there are possible NBA player outcomes here, but don't get your hopes up.",37,28.1,57.8,14.2,0.4,0.1,8.3,2.5,0.4,0.2,1.4,63.6
62,12,,Jaron Pierre Jr.,SG,SG21,NOP,2.28,TBD,2002-07-12,SR,24.04657534,,,"Jaron Pierre Jr. is not going to be everyone's cup of tea. He's very Caris LeVert-coded. He is a good scorer with some solid athleticism that gives him some above the rim flash. I think he may have something here that could help him become an NBA player one day, if he becomes much more efficient and buys in more on defense. ",34,33.2,46.2,17.6,6.4,2.4,4.9,2.1,1,0.4,1.9,75.8
63,-20,6,Nate Bittle,C,C11,TOR,UDFA,Exhibit-10,2003-06-03,SR,23.15342466,,,"The fact that Nate Bittle went undrafted with his skillset and profile must mean the medicals were not pretty. However, there is something here fantasy wise and he could have a chance to show out for Toronto to get a contract. 7-footers who play like he does on offense with a 7'5 wingspan aren't exactly easy to find. He was disappointing at Oregon this year.",25,31.1,46.5,16.8,4.5,1.4,6.9,2.6,0.9,1.8,2.2,73.2
64,-4,7,Keyshawn Hall,SG/SF,SG15,MIA,UDFA,Exhibit-10,2003-04-09,SR,23.30410959,,,"The Keyshawn Hall-Miami pairing just makes too much sense. Keyshawn Hall has a lot of intriguing role player skills in his repitoire that could make him a big riser post-Summer League. He's got scability both on and off the ball, and when called upon like he was at Auburn, he showed a lot of flash. Miami needs some depth and they always seem to conjure role players out of thin air. Is Hall the next one?",36,33.6,45.1,19.3,4.7,1.8,7.1,2.6,0.7,0.6,2.5,85.7
65,-8,7,Peter Suder,SG,SG14,LAL,UDFA,Two-Way (1 Year Deal),2004-01-01,SR,22.57260274,,,"Suder might be a bit undersized and have some athletic limitations, but he's got a lot of flash and connective skills that make me think he could have a chance. He had a ton of predraft workouts and I'm wondering if he passed on being drafted so LAL could pick him up. If he can prove to be a good, sustainable shooter like he was as a senior, there are plug-and-play rotation player outcomes here.",33,31.1,54.6,14.8,2.9,1.2,4.6,4,1.3,0.4,1.9,73.4
66,-14,6,Kylan Boswell,PG,PG11,CHA,UDFA,Two-Way (1 Year Deal),2005-04-18,SR,21.27945205,,,"Kylan Boswell was a key piece for Illinois this year next to Keaton Wagler. He doesn't boast a clearcut elite NBA skill, but he is a good defender and ballhandler that can play a complementary role. He's not afraid to get physical on either end of the floor. The swing for him to become a full-time NBA player is the shooting. Him going to CHA following the LaMelo trade is notable if you're looking at undrafted pickups.",30,30,44.4,12.3,3.8,1.2,4,3,0.7,0,1.1,78.1
67,10,,Jaylin Sellers,SG,,CHI,UDFA,Two-Way (1 Year Deal),2003-06-03,SR,23.15342466,,,"Sellers is a lights-out shooter and can get to the rim effectively. He's going to have some key areas to improve on if he's really going to translate at the next level, especially on defense. The scoring and shooting is certainly worthy of banking on higher. He got a two-way contract with Chicago. Will have an eye on him for Summer League.",33,30,47.3,18.3,5.6,2.4,4.2,1.6,0.9,0.2,1.8,85.9
68,-4,7,Nick Boyd,PG,PG15,GSW,UDFA,Exhibit-10,2001-04-23,SR,25.26575342,,,"Nick Boyd is a quality shotmaker who may not be solid enough to hang on D at 6'1, but he can handle the ball and play the point pretty well to be worth a real look. Golden State secured him on an Exhibit-10 deal following the draft and I hope to see him thrive this summer. Could he find a way to break the mold here and secure himself a two-way deal?",35,31.9,48,20.7,4.8,1.7,3.8,4.3,1,0,1.7,83
69,-6,7,Tamin Lipsey,PG,PG13,IND,UDFA,Exhibit-10,2003-06-25,SR,23.09315068,,,"In theory, Tamin Lipsey could be an NBA player, and his measurements from Portsmouth coming back OK help his case. He's a great table setter that doesn't turn the ball over and a tenacious defender. I'm not sure about the translation, but could this be a potential Jamal Shead-like surge if he hits for Indiana at Summer League? This team is way deep at point guard, so it'll be tough.",34,31.4,45.9,13.5,3.9,1.2,3.9,5.1,2.3,0,1.5,65.6
70,NEW,,Donovan Atwell,SG/SF,,CHI,UDFA,Exhibit-10,2003-08-27,,22.92054795,,,"Atwell is a real-deal shooter out of Texas Tech whose sole job was to knock down 3s. Spot-up shooting, transition, off screens, off handoffs, doesn't matter, he makes them efficiently (45.8% on the year). The fundamental flaw is he absolutely cannot create his own shot and needs a point guard to set him up, and he doesn't attempt shots at the rim. The shooting might still be good enough for there to be a path.",34,34.6,46.3,13.5,8.4,3.8,3.2,0.8,1.2,0.1,0.4,84.1
