#,Player,Position,Team,DOB,Age,Prev. Rank, +/- Change,Notes/Outlook (Updated 7/10/2026)
157,Naji Marshall,SF/PF,DAL,1998-01-24,28.50958904,176,19,I've been a longtime Marshall truther and he's been surging recently. One of the more undervalued win-now fantasy targets out there.
158,Damian Lillard,PG/SG,POR,1990-07-15,36.03835616,172,14,"Dame Time returns this fall, but how much do we get coming off the achilles tear and the heavy guard rotation (Morant, Henderson, Holiday)?"
159,Andrew Wiggins,SF/PF,MIA,1995-02-23,31.42739726,175,16,Andrew Wiggins comes back to Miami on a more team-friendly deal. They'll need a lot of him with Miami's depleted depth post-Giannis.
160,Christian Braun,SG/SF,DEN,2001-04-17,25.28219178,149,-11,I'm still in on Christian Braun being a good player in his career despite Peyton Watson running away as the better player. 
161,1.19 / Labaron Philon,PG/SG,PHI,2005-11-24,20.67671233,NEW,NEW,Philon is going to require some serious patience. He's currently the fourth guard in the pecking order for Philadelphia.
162,1.20 / Nate Ament,SF/PF,MIL,2006-12-10,19.63287671,NEW,NEW,"There's a lot of red flags in Nate Ament's profile, especially for categories leagues, but he should get plenty of run in Milwaukee."
163,Brandin Podziemski,PG/SG/SF,GSW,2003-02-25,23.42191781,133,-30,"Podz had a career-high in scoring this year, but it feels like he's never going to get much respect online. Still a decent player."
164,Jaylon Tyson,SG/SF,CLE,2002-12-02,23.65479452,143,-21,Tyson has evolved into a clear foundational piece for Cleveland. Not sure what the ceiling is but the highs this past year have been solid.
165,Quentin Grimes,SG/SF,PHI -> LAL,2000-05-08,26.22287596,165,0,Name value and the Lakers tax on Grimes is going to lead to him being overvalued. Fine player but got paid too much in free agency.
166,Will Riley,SF/PF,WAS,2006-02-10,20.4630137,129,-37,Will Riley has had some ridiculous stretches of play for Washington. AJ Dybantsa hurts him short term. It's on him to improve this year to stick.
167,Kevin Porter Jr.,PG/SG,MIL,2000-05-04,26.23380493,131,-36,KPJ returns to Milwaukee on a player option with a very muddled backcourt. He'll likely still get minutes.
168,Deandre Ayton,C,LAL -> WAS,1998-07-23,28.01643836,137,-31,"Unsurprisingly, Ayton has looked better than expected because of Luka and Reaves. Numbers are typical but I don't see more long-term upside."
169,Daniel Gafford,C,DAL,1998-10-01,27.82465753,164,-5,"I expected Gafford to get traded, but with Lively's status continually up in the air, we'll see what happens."
170,Moussa Diabate,C,CHA,2002-01-21,24.51780822,159,-11,"As expected, Charlotte got some frontcourt help behind Moussa with Hannes Steinbach aned Nas Reid, but I think he should remain a steady piece."
171,Aaron Nesmith,SF/PF,IND,1999-10-16,26.78356164,154,-17,Nesmith only played about half the season with Indiana's tanking antics. He'll be back to his normal defined 3&D role this season.
172,Kasparas Jakucionis,PG/SG,MIA -> MIL,2006-05-29,20.16712329,189,17,Kasparas ends up in a situation where he can commend more minutes in a rebuild. Still hopeful he can pan out despite the short term logjam in the backcourt.
173,Collin Gillespie,PG,PHO,1999-06-25,27.09315068,192,19,Gillespie has been excellent this year for Phoenix. I expect him to get a nice payday to stay with the Suns this summer.
174,Julian Champagnie,SF/PF,SAS,2001-06-29,25.08219178,221,47,Champagnie has had a much more impactful season/playoffs than the counting stats might tell you. Is there more coming for him?
175,Wendell Carter Jr.,PF/C,ORL,1999-04-16,27.28493151,163,-12,"One of the more consistently undervalued big men, WCJ had a bit of a resurgence after a bad 2024-2025 season. He and Vuc will split time."
176,Jonathan Kuminga,SF/PF,ATL -> FA,2002-10-06,23.8109589,122,-54,I think we've figured out who Jonathan Kuminga is by now and isn't going to hit those high upside marks we hoped for. Fascinated to see where he signs.
177,Kyle Filipowski,PF/C,UTA,2003-11-07,22.72328767,160,-17,Kyle Filipowski finds himself in a good position to continue maintaining a solid role with Utah. This could be a key year for him.
178,Isaiah Stewart,PF/C,DET -> MEM,2001-05-22,25.18630137,212,34,Stewart ends up going to a pretty favorable situation in Memphis as the backup big to Zach Edey. I think he'll be more fantasy relevant than people might expect.
179,Dillon Brooks,SF/PF,PHO,1996-01-22,30.51522569,178,-1,Brooks had an electric year with Phoenix and scoring 20+ PPG for the first time. I don't expect this to continue but he should continue playing a steady role.
180,Davion Mitchell,PG/SG,MIA,1998-09-05,27.89589041,198,18,"Miami gutting their depth chart definitely helps Davion Mitchell's case, but I don't expect him to keep a firm starting job after free agency."
181,Jimmy Butler,SF/PF,GSW,1989-09-14,36.87123288,199,18,"Jimmy Butler suffered a devastating ACL tear this January. He's a psycho and will aim to return soon, but will he ever be the same player again at age 37?"
,TIER BREAK,,,,,,,
182,Cameron Johnson,SF/PF,DEN,1996-03-03,30.40320383,181,-1,The wheels have started to fall off for Cam in Denver. We'll see if he can bounce back this year (preferably if Peyton Watson is gone).
183,CJ McCollum,PG/SG,ATL,1991-09-19,34.85753425,167,-16,CJ's still got it. He's in for probably one more year with Atlanta with a high-scoring role.
184,Hugo Gonzalez,SG/SF,BOS,2006-02-05,20.47671233,242,58,This offseason has given us numerous signs that Hugo is a very valuable player that Boston really believes in. Is the sophomore breakout coming?
185,1.21 / Karim Lopez,SF/PF,MEM,2007-04-12,19.29589041,NEW,NEW,"Karim Lopez is going to be a work in progress, but if he hits, he's going to be a solid player that NBA teams will pay a lot of money for."
186,1.22 / Tarris Reed Jr.,C,SAS,2003-08-05,22.98082192,NEW,NEW,"Tarris Reed and JQ make the backup big spot a little weird, but Reed is a different flavor with some muscle that should work great with Wemby."
187,1.23 / Allen Graves,PF,TOR,2006-07-28,20.00273973,NEW,NEW,Graves is a statistical darling with a lot to like about his player. I have a lot of questions about his long term upside.
188,Gui Santos,SF/PF,GSW,2002-06-22,24.10136986,251,63,One of the more underdiscussed Warriors storylines is that Santos has found his way into the rotation and had some good looks. Interesting hold going into next season.
189,Noa Essengue,SF/PF,CHI,2006-12-18,19.6109589,183,-6,Essengue is far from a complete product and has a lot to work on still after missing his entire rookie year. He'll have to work his way into a reserve role.
190,Grayson Allen,SG/SF,PHO -> CHA,1995-10-08,30.80547945,186,-4,Allen had his best year and popped off for Phoenix with their need for scorers. He'll play a bench role for Charlotte and hope to keep it up.
191,Malik Monk,SG/SF,SAC,1998-02-04,28.47945205,162,-29,Monk had a down year after starting to get phased out of Sacramento. I have to believe someone legitimately wants to trade for him.
192,Herbert Jones,SF/PF,NOP,1998-10-06,27.8109589,207,15,"Despite years of trade rumors, Herb is still in New Orleans and will continue anchoring their entire defense."
193,Max Christie,SG/SF,DAL,2003-02-10,23.4630137,170,-23,Remember Max Christie's hot run early into his Dallas tenure? Still remains a good player but he's not going much further than this.
194,Rui Hachimura,SF/PF,LAL -> LAC,1998-02-08,28.46849315,215,21,Rui Hachimura didn't have to go far to his next team. He stays in town in LA and will have a similar enough role for the Clippers with less pressure than his Lakers gig.
195,Draymond Green,PF/C,GSW,1990-03-04,36.40273973,193,-2,We know who Green is at this point. He'll stick around in GSW until the wheels fall off. His fantasy game isn't what it used to be but he's still a great and valuable player.
196,Bennedict Mathurin,SG/SF,LAC -> FA,2002-06-19,24.10958904,147,-49,"Mathurin remains unsigned to date, and the Clippers-Aspiration investigation might hold them up longer."
197,Paul Reed,PF/C,DET,1999-06-14,27.12328767,364,167,"I realize that this is a massive jump for BBall Paul, but the way he's played in these playoffs should guarantee him a multi-year offer and a more clearcut role."
198,Anfernee Simons,PG/SG,CHI -> PHI,1999-06-08,27.13972603,197,-1,Simons has fallen out of favor in the NBA and will settle for a bench role in a stacked Philly squad.
199,Nique Clifford,SG/SF,SAC,2002-02-09,24.46575342,187,-12,I've really liked what I've seen of Nique in his best moments this season in Sacramento. Hoping to see more this next year as he remains a key piece. 
200,Danny Wolf,PF/C,BKN,2004-05-05,22.23107269,185,-15,"Wolf has a very appealing fantasy game, but he's not a good player at the NBA level yet and has a ways to go. Still definitely worth an investment in dynasty."
201,Mitchell Robinson,C,NYK -> BOS,1998-04-01,28.3260274,226,25,Mitchell Robinson finds a new home in Boston. Injuries remain a concern for him but him and Neemias Queta should maintain solid roles.
202,Daniss Jenkins,PG/SG,DET,2001-08-17,24.94794521,191,-11,Jenkins looks to be a long-term staple for Detroit moving forward. He and Ebuka Okorie will be the main guards off the bench.
203,Cam Spencer,PG/SG,MEM,2000-04-06,26.31030766,208,5,Cam Spencer is a testament to how stacked Memphis is with good-not-great guards. Who emerges of this group?
204,Jrue Holiday,PG/SG,POR,1990-07-12,36.04657534,171,-33,"Jrue Holiday showed us that he's still got it this past year. With the Blazers' guard spots looking weird, what we can we expect for him?"
205,Jamal Shead,PG/SG,TOR,2002-06-24,24.09589041,267,62,Shead has been a solid NBA player to date and really proven me wrong. He's going to be in the NBA for a long time.
206,1.24 / Bruce Thornton,PG/SG,HOU,2003-09-14,22.87123288,NEW,NEW,I'm a big Bruce Thornton fan. I think this fit is fantastic and could really allow him to shine. Could be a major steal in a few years.
207,DeMar DeRozan,SG/SF/PF,SAC -> FA,1989-08-07,36.97534247,177,-30,"All signs point to DeMar heading back to Toronto, staying close to home in LA or going to Miami. "
208,Scotty Pippen Jr.,PG/SG,MEM,2000-11-10,25.71467924,190,-18,Pippen is one of the forgotten guards of this group who has flashed really strong play at times (especially in the playoffs). 
,TIER BREAK,,,,,,,
209,Jordan Poole,PG/SG,NOP,1999-06-19,27.10958904,161,-48,"It'd be a surprise if Jordan Poole was done as an NBA player yet, but he was downright awful this year and got a lot of DNPs."
210,Josh Minott,SF/PF,BKN,2002-11-25,23.6739726,201,-9,Minott has looked solid when getting the looks in Boston and moves onto Brooklyn in a clearer role. We'll see if that sustains this coming season.
211,De'Andre Hunter,SF/PF,SAC,1997-12-02,28.65479452,217,6,"After a one-year wonder performance in Atlanta/Cleveland, Hunter was dumped to Sacramento where he'll expect to take up a decent-sized role."
212,Aaron Wiggins,SG/SF,OKC -> ATL,1999-01-02,27.56986301,255,43,Aaron Wiggins is one of OKC's consolidation victims and heads to Atlanta to keep up in a solid role.
213,Nikola Topic,PG/SG,OKC,2005-08-10,20.96712329,151,-62,"With the addition of Bennett Stirtz, this largely kills the Topic hype. I'm guessing he needs a trade to make it happen at this point."
214,Tre Jones,PG/SG,CHI,2000-01-08,26.55347706,260,46,"Despite his size, Tre Jones has showed he belongs in the NBA still and can sustain a decent backup role in Chicago."
215,Jusuf Nurkic,C,UTA,1994-08-23,31.93150685,277,62,"Despite Walker Kessler going down, Nurkic has been playing with a little gas left in the tank. Not expecting much after this season."
216,Walter Clayton Jr.,PG/SG,MEM,2003-03-06,23.39726027,179,-37,Hope to see Clayton have a mini sophomore breakout in Memphis. He'll definitely shoot better this next season. He's been dealt a weird hand so far.
217,Bobby Portis,PF/C,MIL -> MIA,1995-02-10,31.4630137,219,2,Portis has dropped off the map a little this year and it remains to be seen if he'll tick back up into a more normal role for him.
218,Sam Hauser,SF/PF,BOS,1997-12-08,28.63835616,224,6,"Sam Hauser doesn't have much true upside, but he is a good 3&D player and can pop off for 9 3s now and again. He's an important cheap piece for Boston."
219,Saddiq Bey,SF/PF,NOP,1999-04-09,27.30410959,180,-39,Saddiq Bey was scoring like crazy this year with 17.7 per game. This is pretty obviously not going to stay at this level.
220,Sandro Mamukelashvili,PF/C,TOR -> LAL,1999-05-23,27.18356164,303,83,Mamu got a big time payday to head to the Lakers where he'll face a ton of pressure as the presumed starting power forward.
221,Isaiah Collier,PG/SG,UTA,2004-10-08,21.80484318,150,-71,"The shooting is still far from ever being close to average, but the playmaking, pace and feel are pretty good for a young guard. How will he, George and Clayton mesh?"
222,Robert Williams III,C,POR,1997-10-17,28.78082192,305,83,"Timelord gets a nice 4-year deal to remain the backup center to Donovan Clingan. He was really good when healthy this year, as per usual."
223,Tobias Harris,SF/PF,DET -> SAS,1992-07-15,34.03708361,196,-27,Detroit is really going to feel the loss of Tobias Harris. I like the addition for the Spurs and expect him to continue playing a decent role.
224,Nikola Vucevic,C,BOS -> ORL,1990-10-24,35.76164384,206,-18,Vucevic's value has continued to fall since leaving Chicago. He heads back home to Orlando where he'll play a bench role.
225,Nolan Traore,PG/SG,BKN,2006-05-28,20.16986301,222,-3,Traore has had some flashes of being a potentially good player in Brooklyn. Will likely play a good bench role this next season behind Mikel and Egor.
226,1.25 / Sergio De Larrea,PG/SG,DAL,2005-12-04,20.64931507,NEW,NEW,"Sergio has a ton to like as a 6'6 point guard with good craftiness, passing and shooting. Dusty May will really like and try to weaponize his size."
227,1.26 / Zuby Ejiofor,PF/C,ATL,2004-04-20,22.27205629,NEW,NEW,Zuby will get some run with Atlanta. I have questions about the fit but they've needed more energy and size at the center position for some time now.
228,Kobe Sanders,SG/SF,LAC,2002-05-30,23.4,278,50,The Clippers should be jumping for joy with the scam contract they gave Kobe Sanders. Fully expecting him to outplay it and impact LAC in a big way.
229,De'Anthony Melton,PG/SG,GSW,1998-05-28,28.16986301,214,-15,Melton returns to Golden State on a team-friendly deal. He'll continue playing a rotation role with a good fantasy game.
230,Jerami Grant,SF/PF,POR -> MEM,1994-03-12,32.38082192,188,-42,Grant was one of the pieces traded in the Ja Morant deal. He's making absurd money and will get some minutes.
231,Jaylen Wells,SG/SF,MEM,2003-08-26,22.92328767,218,-13,Wells is a better real-life player than fantasy as a 3&D wing. He'll keep playing good minutes for Memphis.
232,Ousmane Dieng,SF/PF,MIL,2003-05-21,23.1890411,209,-23,"If/when Giannis is traded, Dieng could have a chance to be MIL's next big breakout star after Ryan Rollins for the rebuild. Keep an eye on him this summer."
233,Terrance Shannon Jr.,SG/SF,MIN,2000-07-30,25.99610001,330,97,"TSJ has taken a step up when called upon in the playoffs and he should be looking at a better role this year, if Chris Finch stops being such a stickler."
234,Sam Merrill,SG,CLE,1996-05-15,30.20375028,233,-1,"Merrill is one of the very best shooters in the entire world. The upside isn't high but Sammy Buckets will get you, well, buckets."
235,Zaccharie Risacher,SF/PF,ATL,2005-04-08,21.30684932,200,-35,Risacher's value is crashing hard right now and it remains to be seen if/how he can get it back.
236,1.27 / Koa Peat,PF,PHO,2007-01-20,19.52054795,NEW,NEW,Peat is very much a mystery box player with loads of athleticism. He'll need help getting fit into a role. Could be a solid defender at the NBA level.
237,1.28 / Meleek Thomas,SG,CLE,2006-08-06,19.97808219,NEW,NEW,"With a 4-year guaranteed deal in hand, Thomas has a chance to be a core piece for Cleveland with some more fine-tuning."
238,Ryan Kalkbrenner,C,CHA,2002-01-17,24.52876712,182,-56,Kalkbrenner went from looking at a starting job to being the potential 4th best big on this Hornets squad. He needs a trade to make it happen.
239,Tristan Da Silva,SF/PF,ORL,2001-05-15,25.20547945,202,-37,"Not much more upside for the Magic to extract from Da Silva, but as a rotation player, I think he's good and should have a lengthy career in the NBA."
240,1.29 / Chris Cenac Jr.,PF/C,BOS,2007-02-01,19.48767123,NEW,NEW,"If you draft Cenac, proceed with caution in knowing he is a development project. He will need time to make it happen in Boston, but the ceiling could be very high."
241,Keldon Johnson,SF/PF,SAS,1999-10-11,26.79726027,195,-46,"Just as he's walking away with his 6MOY award, Keldon suddenly feels like an odd man out with San Antonio's recent string of moves, plus Carter Bryant rising."
242,Dylan Cardwell,C,SAC,2001-12-16,24.61643836,239,-3,Cardwell has flashed some really interesting play for Sacramento as an old-school rim protecting big. Great innings eater/backup to Sabonis and Raynaud.
243,Yanic Konan Niederhauser,PF/C,LAC,2003-03-14,22.6,281,38,LAC has not addressed the current big man situation at all through the draft or free agency as of yet. This is a great sign of their confidence in YKN.
,TIER BREAK,,,,,,,
244,Kelly Oubre Jr.,SG/SF,PHI -> IND,1995-12-09,30.63561644,228,-16,We know what Oubre is and what his game looks like. He's a bucket but doesn't offer a ton of strong fantasy appeal besides that.
245,Brice Sensabaugh,SG/SF,UTA,2003-10-30,22.74520548,153,-92,"Once again, we've seen some flashes from Brice Sensabaugh, but with Darryn Peterson and Ace Bailey in town, I think he needs a new team to make it happen."
246,Taylor Hendricks,SF/PF,MEM,2003-11-22,22.68219178,230,-16,"Hendricks struggled to make it happen in Utah, but there are signs of life in Memphis. Keeping an eye here."
247,Ryan Nembhard,PG,DAL,2003-03-10,22.6,289,42,Ryan Nembhard finding a role as an UDFA was one of the bright spots of Dallas's season. Can he secure a solid long term contract this year?
248,GG Jackson,SF/PF,MEM,2004-12-17,21.61358635,205,-43,Some people are going to be annoyed about this placement. I just don't know what to say about GG. Can score but not much else. Only gets run when MEM is bad.
249,Rasheer Fleming,SF/PF,PHO,2004-07-10,22.05074482,261,12,Fleming will remain in a reserve role following the Suns' trade for Miles Bridges. Still hopeful he can pan out as him and Koa Peat fight for PF minutes.
250,Luguentz Dort,SG/SF,OKC,1999-04-19,27.27671233,234,-16,Lu Dort remains in OKC as one of their core defenders. Will he stay here much longer?
251,Rob Dillingham,PG,CHI,2005-01-04,21.56438356,220,-31,"I normally try and give some grace to young guards, but I'm pretty concerned with how things went in MIN and the fantasy game being pretty poor in CHI."
252,1.30 / Joshua Jefferson,SF/PF,BKN,2003-11-21,22.68493151,NEW,NEW,Jefferson will fit right in with this Brooklyn Nets identity built around passing at all positions. Good fantasy profile.
253,2.01 / Jayden Quaintance,C,SAS,2007-07-11,19.04931507,NEW,NEW,"There is zero question that JQ looks like an elite athlete and defender from Day 1 in the NBA, but the offensive development is the big swing."
254,2.02 / Isaiah Evans,SG/SF,MIN,2005-12-06,20.64383562,NEW,NEW,"Isaiah Evans doesn't have a strong fantasy game, but the hope is the shooting is something to build on."
255,2.03 / Richie Saunders,SG/SF,MEM,2001-09-19,24.85753425,NEW,NEW,I don't care that Richie Saunders is almost 25 years old. Dude is a demon and has a real route to being a successful NBA player that outplays his draft position.
256,Miles McBride,PG/SG,NYK,2000-09-08,25.88681039,241,-15,Deuce McBride scored more points than I anticipated this past year despite only playing half the season. I don't expect 12 PPG to remain the norm.
257,Donte DiVincenzo,PG/SG,MIN,1997-01-31,29.49041096,173,-84,Awful news as we find out Donte DiVincenzo tore his achilles during the playoffs. We won't see him at all next year.
258,Quentin Post,PF/C,GSW -> MEM,2000-03-21,26.3540235,314,56,There's some real upside with Post here. Memphis made an interesting move to steal him away from Memphis as their third big.
259,Yang Hansen,C,POR,2005-06-26,21.09041096,204,-55,"Yang was completely unplayable as a rookie. Never thought much of him, but given the profile and the capital spent on him, you have to hold or buy low."
260,Pelle Larsson,SG/SF,MIA,2001-02-23,25.42739726,294,34,Larsson will need to step up for Miami with a lot of missing depth. Spo trusts him and he can play different roles as a glue guy.
261,Kyle Kuzma,SF/PF,MIL,1995-07-24,31.01369863,211,-50,"Finally, pure mid. We know who Kyle Kuzma is and that he's a bad fantasy player. Don't much expect here in Milwaukee post-Giannis."
262,Baylor Scheierman,SG/SF,BOS,2000-10-26,25.75566285,262,0,"Scheierman took a step forward this year for Boston. With Jaylen Brown gone, expect him and Hugo Gonzalez to pick up some slack."
263,Max Strus,SG/SF,CLE,1996-03-28,30.33489782,282,19,Strus barely played in 2025-2026 (12 GP). Expect him to remain in a decent role and keep hitting 3s.
264,Bradley Beal,SG,LAC -> MIA,1993-06-28,33.08493151,276,12,Beal could be an interesting bargain bin player to stash if you're a contender and think he can come back to some form next year.
265,Moses Moody,SG/SF,GSW,2002-05-31,24.16164384,258,-7,Moody was really coming up strong before a brutal patellar tendon tear. He has a lenthy road to recovery.
266,Noah Clowney,PF/C,BKN,2004-07-14,22.03981585,213,-53,"Clowney has gross percentages, but he's certainly improved overall this year. I don't think he's ever going to be a good NBA player, frankly."
267,Jase Richardson,SG,ORL,2005-10-16,20.78356164,210,-57,"The talent is still there for Jase Richardson, but the opportunities haven't been and his height and role are at odds. Hoping their next head coach sees the vision. "
268,Collin Sexton,PG/SG,CHI -> LAL,1999-01-04,27.56438356,223,-45,I couldn't think of a worse fit for Collin Sexton if I tried. He'll get some mileage with the Lakers but I'm not confident he looks all that good.
269,Royce O'Neale,SG/SF,PHO -> CHA,1993-06-05,33.14794521,271,2,"Royce heads to Charlotte after a career-high year in points. Expect him to play like his usual self we've seen at Utah, Brooklyn and Phoenix."
270,2.04 / Alex Karaban,SF/PF,SAC,2002-11-11,23.71232877,NEW,NEW,Karaban has some connective pieces to his game that should give him some fantasy appeal. Good leader and jack-of-all-trades.
271,Jay Huff,C,IND,1997-08-25,28.9260274,235,-36,"Huff was not efficient this year, but there's a lot to like as a 3-point shooting center who racks up blocks. Hoping he returns to form in a backup role behind Zubac."
272,Justin Champagnie,SF/PF,WAS,2001-06-29,25.08219178,237,-35,"These Champagnie twin are good, man.  Really impressed by Justin's hard work in securing a full-time NBA role. High-percentile rebounder for his position."
273,Jalen Smith,PF/C,CHI,2000-03-16,26.36768471,249,-24,We know what it is with Jalen Smith. He'll likely back up Nic Claxton at the 5 and should continue playing a decent role in Chicago.
274,2.05 / Ryan Conwell,SG,MIA,2004-06-15,22.11905083,NEW,NEW,Conwell has a pro-ready game built to help the Heat's bench from the jump. Expect him to start climbing in your drafts.
275,Oso Ighodaro,PF/C,PHO,2002-07-02,24.0739726,304,29,"Ighodaro was impactful this year for Phoenix. Curious how things shake out with Maluach improving, Miles Bridges coming in, and Rasheer Fleming and Koa Peat."
276,2.06 / Henri Veesaar,C,ATL,2004-03-28,22.33489782,NEW,NEW,Henri Veesaar forced his way into a long fall down draft boards to secure a guaranteed deal with the Hawks. He remains a priority 30s target.
277,2.07 / Baba Miller,PF/C,LAC,2004-02-07,22.47150984,NEW,NEW,Baba Miller got a big ol' payday with the Clippers on a 4-year deal. This is super notable and could be a great sign of what's to come.
278,Dennis Schroder,PG/SG,CLE,1993-09-15,32.86849315,240,-38,Schroder has bounced around for a while. He's still got legs in the NBA depending on what Cleveland does with him.
279,Asa Newell,PF/C,ATL,2005-10-05,20.81369863,286,7,I'm closely watching Asa Newell after some fiery games when he gets real minutes. Holding and buying if I can.
280,Noah Penda,SF/PF,ORL,2005-01-07,21.55616438,238,-42,I love what I've seen from Penda so far and I'm high on him potentially earning a consistent role in 2026-2027.
281,Jose Alvarado,PG,NYK,1998-04-12,28.29589041,266,-15,Grand Theft Alvrado has been a solid contributor with the Knicks. He signed a team-friendly deal to stick around the champions. 
282,Javon Small,PG/SG,MEM,2002-12-19,23.60821918,283,1,Small's fantasy game has continued to pop when he plays for Memphis. Could be a real sleeper hit for deeper leagues here.
283,Luke Kennard,SG/SF,ATL -> PHO,1996-06-24,30.09446066,302,19,Kennard is playing a 3-point specialist role for the Lakers. I expect him to pick up some slack until Luka and Reaves are back.
284,Adem Bona,PF/C,PHI,2003-03-28,23.3369863,299,15,"Bona played a similar low-minute role again for the 76ers. Still a nice long-term bench piece to look at, but Andre Drummond is still good for the backup role."
285,Tidjane Salaun,PF,CHA,2005-08-10,20.96712329,287,2,This next year might be a make-or-break one for Salaun as Charlotte gears up with more frontcourt pieces in this upcoming draft.
286,Bogoljbub Markovic,PF,MIL,2005-07-12,20.2,405,119,"This is quite a jump for Markovic, but after a great year of improvement that won him the ABA MVP and a nice-sized 4 year contract, he's absolutely a priority pickup."
287,Ja'Kobe Walter,SG/SF,TOR,2004-09-04,21.89773935,327,40,I didn't respect Ja'Kobe Walter enough this past year. Curious how much further he's going into this next year.
288,Kris Dunn,PG/SG,LAC,1994-03-18,32.36438356,265,-23,"Not much upside for Dunn at this point in his career, but I expect him to play a key role in LAC either starting next to Darius Garland or coming off the bench."
289,Jordan Walsh,SF/PF,BOS,2004-03-03,22.40320383,247,-42,"Walsh is still young and needs time, but upside is still there in his physical tools and the advanced numbers this season. Curious if he can carve out more in Year 3."
290,Obi Toppin,PF,IND,1998-03-04,28.40273973,273,-17,We barely saw Obi Toppin this year (24 games played). We'll hope to see him keep things back to '24-'25 form when Haliburton returns.
291,2.08 / Emanuel Sharp,SG,SAC,2004-03-07,22.39227487,NEW,NEW,There's plenty to like about Emanuel Sharp as an off-ball 3&D player and a culture setter. Very hard worker and got a guaranteed contract.
292,Carlton Carrington,PG/SG,WAS,2005-07-21,21.02191781,244,-48,Bub is still playing poorly to close out the season and is teetering on top 300 per-game value. It might be curtains for him soon.
293,TJ McConnell,PG/SG,IND,1992-03-25,34.34309454,264,-29,TJ McConnell continues trucking along as a key piece in Indiana as a backup guard. We know what to expect at this point.
294,Derrick Jones Jr.,SF/PF,LAC,1997-02-15,29.44931507,288,-6,"With the recent Clippers moves with adding Rui, it feels like DJJ could be one of the odd men out. He's still got some juice, so we'll see what happens."
295,Dean Wade,SF/PF,CLE -> PHI,1996-11-20,29.68735684,371,76,Wade was a great undrafted gem for the Cavs and plays a steady bench role. Really good IRL player but essentially a cardio guy for fantasy purposes.
296,Nikola Jovic,SF/PF,MIA,2003-06-09,23.1369863,263,-33,"Jovic has been downright awful this year. No clue what happened, but good chance he gets salary dumped or used in filler for a trade soon."
297,Adou Thiero,SF/PF,LAL,2004-05-08,22.22287596,248,-49,"The offense remains a work in progress, but if you want to bet on the tools, athleticism, and two-way appeal, Thiero has a lot to love."
298,Jordan Miller,SF/PF,LAC,2000-01-23,26.51249345,290,-8,Jordan Miller had a nice season with the Clippers. There's sure to be questions in their rotation and how he fits in. I'm not a strong believer.
299,Duncan Robinson,SG/SF,DET,1994-04-22,32.26849315,245,-54,"Duncan Robinson gets a little bit more competition for touches with Isaiah Joe, but he remains the best shooter of the team."
300,Tim Hardaway Jr.,SG/SF,DEN -> MIA,1992-03-16,34.36768471,310,10,THJ was a 6th Man of the Year Finalist and played a key role for Denver. Expecting him to re-sign here.
301,Alex Caruso,PG/SG,OKC,1994-02-28,32.41369863,257,-44,"Caruso in OKC is making for some terrifying defense. He's a winning player, but spending the remainder of his prime on a deep contender is not A+ for fantasy."
302,Isaiah Joe,SG/SF,OKC -> DET,1999-07-02,27.0739726,216,-86,Isaiah Joe was one of OKC's victims for consolidation. He heads to Detroit to bolster their shooting.
303,Jake LaRavia,SF/PF,LAL,2001-11-03,24.73424658,259,-44,LaRavia has impressed on occasion in LA. He's settled into a career as a role player moving forward.
304,Andre Drummond,C,PHI -> FA,1993-08-10,32.96712329,331,27,"I don't know how he does it, but Andre Drummond continues to survive and deliver some quality play in philly. "
305,Jock Landale,C,ATL,1995-10-25,30.75890411,346,41,Landale has played some decent ball for Atlanta and will likely stick around as a backup/3rd stringer.
306,Jarace Walker,SF/PF,IND,2003-09-04,22.89863014,229,-77,"Entering the last year of his rookie contract, we still really don't know what Walker is going to be. Good tanking year numbers, but can he show anything this year?"
307,Dominick Barlow,PF/C,PHI,2003-05-26,23.17534247,298,-9,"Barlow has played a surprising amount for Philly, starting more games than you'd think. Not a ton of fantasy upside here, at least from recent returns."
308,AJ Green,SG,MIL,1999-09-27,26.83561644,236,-72,AJ Green is one of the bigger losers of the Giannis trade with a ton of guards in the rotation now. He probably needs a trade to return to relevancy.
309,Al Horford,PF/C,GSW,1986-06-03,40.15342466,320,11,"At 40 years old, Al Horford is somehow still kicking. With Quinten Post gone, there will be hope for him to keep playing at a good level. "
310,DaRon Holmes II,PF/C,DEN,2002-08-15,23.95342466,252,-58,This year may be Holmes' last chance at securing a role with Denver. He'll face competition with Marvin Bagley III in the frontcourt.
311,Ryan Dunn,SG/SF,PHO,2003-01-07,23.55616438,253,-58,"Ryan Dunn hasn't progressed much besides some 3PT strides, but he remains a bad offensive player and hasn't shown much in the stocks department."
312,Yves Missi,C,NOP,2004-05-14,22.20648252,270,-42,Missi is unfortunately buried in New Orleans given their current big situation with Derik Queen. He'll need a trade to be relevant again.
313,Devin Carter,PG/SG,SAC -> ATL,2002-03-18,24.36438356,243,-70,The Kings salary dumped Devin Carter to the Hawks. There is a chance he can figure it out here as a bench guy.
314,Marcus Smart,PG/SG,LAL -> HOU,1994-03-06,23.6,NEW,NEW,"Somehow, I've forgotten to add Marcus Smart over into multiple updates. He's back now, and has been playing a good role for LA."
315,Jamir Watkins,SG/SF,WAS,2001-07-06,25.0630137,284,-31,Watkins has shown he has some juice to be a good rotation player for Washington. He fits their defensive identity well. He might play more than you think this year.
